Metastates,Degree Centrality,Indegree Centrality,Outdegree Centrality,Betweenness Centrality,Closeness Centrality,Source Hub Ratio
EIWP,7,0,7,0,0.090909091,1
SANZ,1,1,0,0,0.052631579,0
NWP,2,1,1,1,0.058823529,0.5
WIO,1,1,0,0,0.052631579,0
NEP,1,1,0,0,0.052631579,0
NWA,1,1,0,0,0.04,0
EP,2,1,1,0,0.058823529,0.5
WA,3,2,1,2,0.0625,0.333333333
NEA,1,1,0,0,0.052631579,0
SAFR,1,1,0,0,0.041666667,0.0
